,Team,PASS YDS,PASS AVG,PASS TD,PASS INT,QBR,RTG,CMP,ATT,CMP %,CAR,RUSH YDS,RUSH AVG,RUSH TD,RUSH LONG,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
0,ARI,3846.0,7.360869565217392,32.0,11.0,51.5304347826087,95.7695652173913,347.0,506.0,68.57707509881423,521.0,2434.0,4.326865671641791,19.0,11.149253731343284,731,385.0,1151,33.0,234.0,76,66,10.0,96.0,82.0,0,6.0,6.0,1.0
1,ATL,3707.0,6.323809523809524,24.0,8.0,50.87142857142857,82.75714285714287,340.0,549.0,61.93078324225865,499.0,2009.0,4.092,11.0,10.4,706,431.0,1149,41.0,258.0,83,66,8.0,124.0,121.0,1,19.0,7.0,0.0
2,BAL,3717.0,5.980952380952381,18.0,18.0,39.31904761904762,75.22380952380952,384.0,634.0,60.56782334384858,415.0,1860.0,3.9611940298507458,6.0,10.955223880597014,727,379.0,1106,58.0,436.0,89,92,18.0,258.0,182.0,1,16.0,13.0,0.0
3,BUF,3676.0,6.438095238095237,18.0,18.0,39.4,75.3,363.0,552.0,65.76086956521739,409.0,1880.0,5.548648648648649,14.0,12.094594594594595,718,328.0,1054,52.0,319.0,86,79,14.0,90.0,80.0,2,14.0,10.0,0.0
4,CAR,3109.0,6.2,19.0,8.0,53.114999999999995,85.745,309.0,481.0,64.24116424116424,508.0,2081.0,3.710526315789474,25.0,10.789473684210526,649,429.0,1084,27.0,194.0,75,64,8.0,203.0,206.0,2,5.0,3.0,0.0
5,CHI,4245.0,6.459090909090909,31.0,22.0,51.91818181818182,86.63636363636364,410.0,617.0,66.45056726094003,388.0,1468.0,3.302941176470588,8.0,8.455882352941176,692,365.0,1067,24.0,156.0,72,83,22.0,245.0,189.0,2,12.0,6.0,0.0
6,CIN,4480.0,7.3950000000000005,23.0,17.0,49.945,90.65,364.0,555.0,65.58558558558558,456.0,2145.0,5.029032258064516,17.0,12.435483870967742,700,412.0,1112,44.0,258.0,75,74,17.0,152.0,101.0,1,11.0,9.0,0.0
7,CLE,3149.0,5.6850000000000005,23.0,18.0,41.675,74.12,307.0,535.0,57.38317757009346,420.0,1793.0,3.896153846153846,15.0,11.487179487179487,701,293.0,998,47.0,336.0,113,92,17.0,135.0,122.0,2,14.0,10.0,0.0
8,DAL,3481.0,7.763999999999999,21.0,17.0,31.864,79.336,308.0,509.0,60.51080550098232,459.0,1910.0,4.175342465753425,14.0,10.0,659,385.0,1045,45.0,297.0,83,74,17.0,249.0,103.0,5,14.0,9.0,1.0
9,DEN,4302.0,8.216000000000001,29.0,11.0,52.583999999999996,91.4,382.0,572.0,66.78321678321679,469.0,2331.0,4.172,15.0,11.453333333333333,722,378.0,1123,41.0,327.0,71,62,9.0,80.0,69.0,0,19.0,15.0,1.0
10,DET,4562.0,7.115,28.0,16.0,45.375,86.385,371.0,588.0,63.095238095238095,408.0,1509.0,3.3130434782608695,15.0,8.927536231884059,690,340.0,1034,41.0,358.0,81,79,16.0,209.0,145.0,1,12.0,6.0,0.0
11,GB,3803.0,6.800000000000001,21.0,7.0,46.29047619047619,87.0952380952381,342.0,523.0,65.39196940726578,493.0,2181.0,4.72054794520548,15.0,11.027397260273972,739,407.0,1156,45.0,290.0,76,68,6.0,70.0,61.0,1,10.0,10.0,1.0
12,HOU,4334.0,7.3625,17.0,14.0,51.324999999999996,85.83333333333333,382.0,565.0,67.61061946902655,468.0,1643.0,3.2944444444444443,19.0,8.73611111111111,744,388.0,1192,41.5,332.0,106,70,11.0,50.0,47.0,0,15.0,9.0,1.0
13,IND,4157.0,6.5125,21.0,15.0,42.949999999999996,79.15833333333333,370.0,568.0,65.14084507042254,518.0,2105.0,3.3485714285714288,22.0,10.542857142857143,797,375.0,1204,51.0,317.0,94,69,15.0,256.0,184.0,3,17.0,9.0,1.0
14,JAX,4355.0,5.4739130434782615,27.0,16.0,40.94347826086956,82.14347826086956,404.0,617.0,65.47811993517017,421.0,1752.0,4.3,15.0,10.985507246376812,705,371.0,1076,40.0,281.0,73,84,16.0,264.0,173.0,2,12.0,11.0,0.0
15,KC,3352.0,5.28421052631579,19.0,8.0,42.1578947368421,79.41578947368421,340.0,556.0,61.15107913669065,432.0,1925.0,4.766666666666667,10.0,11.458333333333334,715,309.0,1024,57.0,352.0,87,72,8.0,69.0,69.0,0,15.0,9.0,2.0
16,LAC,4580.0,7.655555555555556,26.0,9.0,54.75,97.51666666666667,389.0,598.0,65.05016722408027,467.0,1924.0,5.12,18.0,11.6,759,314.0,1104,44.0,321.0,82,83,8.0,22.0,22.0,0,15.0,12.0,0.0
17,LAR,4195.0,6.695,24.0,10.0,50.239999999999995,87.275,367.0,604.0,60.76158940397352,433.0,1816.0,4.554929577464788,14.0,10.380281690140846,666,430.0,1096,41.0,269.0,75,76,10.0,100.0,80.0,0,7.0,5.0,0.0
18,LV,3900.0,5.820833333333333,21.0,13.0,39.579166666666666,75.06666666666666,376.0,564.0,66.66666666666666,479.0,2015.0,3.644285714285714,15.0,9.471428571428572,746,416.0,1169,46.0,290.0,82,56,11.0,219.0,175.0,3,14.0,9.0,2.0
19,MIA,4132.0,7.79047619047619,27.0,15.0,48.90952380952382,93.04285714285714,380.0,568.0,66.90140845070422,433.0,1650.0,3.4642857142857144,15.0,9.557142857142857,777,377.0,1206,56.0,374.0,88,82,15.0,270.0,266.0,4,15.0,12.0,0.0
20,MIN,4288.0,9.836363636363636,23.0,11.0,49.809090909090905,89.6590909090909,426.0,606.0,70.29702970297029,446.0,1678.0,3.7941176470588234,14.0,8.25,761,442.0,1203,43.0,303.0,70,67,11.0,112.0,90.0,0,22.0,11.0,2.0
21,NE,3791.0,6.4,19.0,10.0,55.37619047619048,86.25714285714287,370.0,575.0,64.34782608695652,480.0,1584.0,3.3698630136986303,14.0,8.602739726027398,742,411.0,1163,36.0,250.0,80,66,9.0,96.0,80.0,0,15.0,8.0,1.0
22,NO,3768.0,6.5227272727272725,22.0,18.0,43.39090909090909,76.92727272727274,333.0,558.0,59.67741935483871,462.0,2038.0,4.416216216216216,10.0,10.824324324324325,652,419.0,1071,34.0,245.0,70,99,18.0,185.0,132.0,1,8.0,11.0,1.0
23,NYG,4157.0,6.478260869565218,21.0,18.0,50.82608695652174,76.92608695652174,371.0,582.0,63.745704467353946,475.0,2251.0,4.690540540540541,24.0,11.486486486486486,734,369.0,1111,32.5,248.0,76,81,18.0,404.0,368.0,4,19.0,12.0,0.0
24,NYJ,3182.0,5.285714285714286,19.0,17.0,42.938095238095244,73.43809523809524,313.0,522.0,59.961685823754785,517.0,2108.0,4.090909090909091,14.0,10.883116883116884,735,406.0,1145,46.0,307.0,99,91,17.0,212.0,192.0,2,14.0,10.0,1.0
25,PHI,4551.0,6.63,35.0,9.0,51.055,90.44500000000001,425.0,652.0,65.1840490797546,410.0,1758.0,4.538461538461538,13.0,9.8,722,311.0,1089,42.0,255.0,73,74,8.0,207.0,191.0,2,15.0,8.0,1.0
26,PIT,4164.0,7.300000000000001,23.0,16.0,52.87222222222223,89.35555555555555,348.0,573.0,60.73298429319372,454.0,1956.0,4.291666666666667,9.0,12.916666666666666,733,354.0,1088,47.0,305.0,83,80,16.0,184.0,177.0,1,19.0,11.0,1.0
27,SEA,4259.0,6.8304347826086955,21.0,11.0,51.073913043478264,88.70869565217392,390.0,585.0,66.66666666666666,515.0,2352.0,4.366176470588235,24.0,12.794117647058824,780,450.0,1248,43.0,270.0,99,77,11.0,177.0,177.0,3,13.0,8.0,0.0
28,SF,3949.0,5.531818181818182,20.0,22.0,39.74545454545454,74.80909090909091,410.0,621.0,66.02254428341385,369.0,1525.0,4.092,10.0,9.226666666666667,705,358.0,1071,42.0,271.0,78,84,22.0,309.0,196.0,1,10.0,6.0,0.0
29,TB,4568.0,7.285714285714286,23.0,13.0,47.28095238095238,88.2,404.0,611.0,66.12111292962356,422.0,1620.0,3.346268656716418,11.0,8.567164179104477,740,409.0,1149,47.0,327.0,91,64,13.0,93.0,79.0,1,18.0,12.0,0.0
30,TEN,4181.0,6.752380952380953,20.0,6.0,48.62857142857143,89.16666666666667,387.0,571.0,67.77583187390543,480.0,1831.0,3.6240506329113926,10.0,8.544303797468354,783,385.0,1224,41.5,298.0,91,55,5.0,84.0,82.0,1,13.0,7.0,0.0
31,WSH,4627.0,7.334999999999999,39.0,8.0,54.88000000000001,101.03999999999999,396.0,598.0,66.22073578595318,480.0,2155.0,4.461842105263158,15.0,11.078947368421053,740,413.0,1167,26.5,99.0,86,78,8.0,85.0,85.0,0,8.0,10.0,0.0
